Last Name,First Name,Email Address,Grade
Bennett,Richard,richard.bennett@dci-student.edu,10
Parker,Timothy,timothy.parker@dci-student.edu,9
Reyes,Carol,carol.reyes@dci-student.edu,5
Powers,Brooke,brooke.powers@dci-student.edu,6
Taylor,Michael,michael.taylor@dci-student.edu,5
Bailey,Belinda,belinda.bailey@dci-student.edu,6
Stevens,Marcia,marcia.stevens@dci-student.edu,7
Faulkner,Katelyn,katelyn.faulkner@dci-student.edu,6
Daniel,William,william.daniel@dci-student.edu,9
Johnson,Dylan,dylan.johnson@dci-student.edu,6
Thomas,Sandra,sandra.thomas@dci-student.edu,9
Saunders,Richard,richard.saunders@dci-student.edu,10
Ortega,Tiffany,tiffany.ortega@dci-student.edu,7
Schwartz,Billy,billy.schwartz@dci-student.edu,11
Vasquez,Sara,sara.vasquez@dci-student.edu,5
Martin,Ashley,ashley.martin@dci-student.edu,5
Rush,Oscar,oscar.rush@dci-student.edu,5
Walsh,Jill,jill.walsh@dci-student.edu,6
Hernandez,Taylor,taylor.hernandez@dci-student.edu,11
Cooper,Adam,adam.cooper@dci-student.edu,4
Raymond,Troy,troy.raymond@dci-student.edu,7
Washington,Travis,travis.washington@dci-student.edu,11
King,Paige,paige.king@dci-student.edu,8
Miller,Anthony,anthony.miller@dci-student.edu,9
Underwood,James,james.underwood@dci-student.edu,5
Cervantes,Scott,scott.cervantes@dci-student.edu,4
Terry,Thomas,thomas.terry@dci-student.edu,8
Glover,Heidi,heidi.glover@dci-student.edu,4
Payne,Douglas,douglas.payne@dci-student.edu,8
Lee,Danielle,danielle.lee@dci-student.edu,7
Gordon,Lori,lori.gordon@dci-student.edu,9
Dunn,Amy,amy.dunn@dci-student.edu,10
Sparks,Leslie,leslie.sparks@dci-student.edu,7
Patterson,Nicole,nicole.patterson@dci-student.edu,6
Lester,Aaron,aaron.lester@dci-student.edu,6
Daniels,Amber,amber.daniels@dci-student.edu,7
Friedman,Linda,linda.friedman@dci-student.edu,10
Brown,Kelsey,kelsey.brown@dci-student.edu,10
Beck,David,david.beck@dci-student.edu,4
Jones,Sarah,sarah.jones@dci-student.edu,9
Rodriguez,Alexander,alexander.rodriguez@dci-student.edu,11
Miller,Stephen,stephen.miller@dci-student.edu,8
Duffy,Erin,erin.duffy@dci-student.edu,9
Rhodes,Kimberly,kimberly.rhodes@dci-student.edu,9
Webb,Heather,heather.webb@dci-student.edu,5
Lee,Michelle,michelle.lee@dci-student.edu,9
Graham,Benjamin,benjamin.graham@dci-student.edu,7
Johnson,Stacy,stacy.johnson@dci-student.edu,6
Anderson,Lauren,lauren.anderson@dci-student.edu,8
Greer,April,april.greer@dci-student.edu,8
Rodriguez,John,john.rodriguez@dci-student.edu,6
Brock,Lauren,lauren.brock@dci-student.edu,7
Reyes,Jason,jason.reyes@dci-student.edu,9
Gonzalez,Matthew,matthew.gonzalez@dci-student.edu,7
Adams,Amy,amy.adams@dci-student.edu,9
Warren,Angela,angela.warren@dci-student.edu,8
Smith,Kerry,kerry.smith@dci-student.edu,4
Johnston,Robert,robert.johnston@dci-student.edu,9
Smith,Matthew,matthew.smith@dci-student.edu,8
Bates,Nathan,nathan.bates@dci-student.edu,6
Douglas,Robert,robert.douglas@dci-student.edu,8
Smith,Samantha,samantha.smith@dci-student.edu,6
Foster,Tommy,tommy.foster@dci-student.edu,9
White,Amy,amy.white@dci-student.edu,7
Joyce,Traci,traci.joyce@dci-student.edu,8
Patrick,Mark,mark.patrick@dci-student.edu,10
Anderson,Daisy,daisy.anderson@dci-student.edu,9
Hunt,Brett,brett.hunt@dci-student.edu,4
Dudley,Emily,emily.dudley@dci-student.edu,5
Watkins,Carol,carol.watkins@dci-student.edu,6
Curry,Alec,alec.curry@dci-student.edu,9
Johnson,Tara,tara.johnson@dci-student.edu,6
Wilkerson,Levi,levi.wilkerson@dci-student.edu,11
Williams,Kimberly,kimberly.williams@dci-student.edu,6
James,Margaret,margaret.james@dci-student.edu,8
Leon,Tammy,tammy.leon@dci-student.edu,4
Baldwin,Lucas,lucas.baldwin@dci-student.edu,7
Holt,Crystal,crystal.holt@dci-student.edu,9
Scott,Michelle,michelle.scott@dci-student.edu,7
Myers,Brian,brian.myers@dci-student.edu,9
Price,Ricardo,ricardo.price@dci-student.edu,10
Smith,Crystal,crystal.smith@dci-student.edu,6
Miller,Jorge,jorge.miller@dci-student.edu,10
Bryan,Bradley,bradley.bryan@dci-student.edu,10
Smith,Andrea,andrea.smith@dci-student.edu,5
Petersen,Kristin,kristin.petersen@dci-student.edu,8
Hart,Colleen,colleen.hart@dci-student.edu,6
Walls,Joyce,joyce.walls@dci-student.edu,10
Good,Sherry,sherry.good@dci-student.edu,6
Guzman,Cynthia,cynthia.guzman@dci-student.edu,6
Pena,Jonathan,jonathan.pena@dci-student.edu,9
Carter,Lorraine,lorraine.carter@dci-student.edu,5
Flores,Russell,russell.flores@dci-student.edu,7
Boyd,Victoria,victoria.boyd@dci-student.edu,9
Moore,Kimberly,kimberly.moore@dci-student.edu,6
Johnson,Paul,paul.johnson@dci-student.edu,10
Johnson,Jamie,jamie.johnson@dci-student.edu,5
Reyes,Bailey,bailey.reyes@dci-student.edu,10
Garza,Jessica,jessica.garza@dci-student.edu,8
Nguyen,Cindy,cindy.nguyen@dci-student.edu,7
Simpson,Felicia,felicia.simpson@dci-student.edu,11
Dennis,Rachel,rachel.dennis@dci-student.edu,7
Garcia,Desiree,desiree.garcia@dci-student.edu,8
Rice,Rhonda,rhonda.rice@dci-student.edu,8
Clark,Jill,jill.clark@dci-student.edu,9
Harris,John,john.harris@dci-student.edu,9
Terry,Amy,amy.terry@dci-student.edu,4
Dennis,Cameron,cameron.dennis@dci-student.edu,4
Delgado,Desiree,desiree.delgado@dci-student.edu,4
Poole,Melissa,melissa.poole@dci-student.edu,9
Odom,John,john.odom@dci-student.edu,11
Mann,Nicole,nicole.mann@dci-student.edu,11
Reid,Laura,laura.reid@dci-student.edu,4
Roberts,Steven,steven.roberts@dci-student.edu,8
Foster,Ashlee,ashlee.foster@dci-student.edu,5
Flower,John,john.g.2.flower@dci-student.edu,8
Allen,Christina,christina.allen@dci-student.edu,10
Lopez,Mark,mark.lopez@dci-student.edu,4
Edwards,Nicole,nicole.edwards@dci-student.edu,10
Jones,Daniel,daniel.jones@dci-student.edu,8
Thomas,Brandon,brandon.thomas@dci-student.edu,7
Mccall,Kimberly,kimberly.mccall@dci-student.edu,11
Houston,Emily,emily.houston@dci-student.edu,8
Sampson,Stephanie,stephanie.sampson@dci-student.edu,10
Reilly,Brandy,brandy.reilly@dci-student.edu,5
Miranda,Brett,brett.miranda@dci-student.edu,11
Marshall,Shawn,shawn.marshall@dci-student.edu,8
Barrera,Woody,woody.barrera_jr@dci-student.edu,4
Lambert,Malaika,malaika.lambert@dci-student.edu,8
Edwards,Timothy,timothy.edwards@dci-student.edu,6
Young,Joseph,joseph.young@dci-student.edu,8
Sanders,Beth,beth.sanders@dci-student.edu,4
Jones,Michele,michele.jones@dci-student.edu,7
Watson,Holly,holly.watson@dci-student.edu,11
Benton,Michael,michael.benton@dci-student.edu,7
Campbell,Charles,charles.campbell@dci-student.edu,5
Weber,Samuel,samuel.weber@dci-student.edu,6
Woodard,John,john.woodard@dci-student.edu,11
Bauer,John,john.bauer@dci-student.edu,4
Rogers,Sherry,sherry.rogers@dci-student.edu,4
Warren,Tamara,tamara.warren@dci-student.edu,10
Wolf,Courtney,courtney.wolf@dci-student.edu,10
Flores,Brandon,brandon.flores@dci-student.edu,7
Evans,Patricia,patricia.evans@dci-student.edu,9
Davidson,Luke,luke.davidson@dci-student.edu,7
Perez,Jeffrey,jeffrey.perez@dci-student.edu,4
Dunlap,Angela,angela.dunlap@dci-student.edu,6
Elliott,Richard,richard.elliott@dci-student.edu,6
Nguyen,Donna,donna.nguyen@dci-student.edu,7
Ramirez,Timothy,timothy.ramirez@dci-student.edu,4
