Last Name,First Name,Email Address,Grade
Dennis,Rachel,rachel.dennis@dci-student.edu,11
Wolf,Courtney,courtney.wolf@dci-student.edu,9
Lester,Aaron,aaron.lester@dci-student.edu,8
Martin,Ashley,ashley.martin@dci-student.edu,11
Garza,Jessica,jessica.garza@dci-student.edu,10
Edwards,Timothy,timothy.edwards@dci-student.edu,7
Lambert,Malaika,malaika.lambert@dci-student.edu,6
Foster,Ashlee,ashlee.foster@dci-student.edu,12
Warren,Tamara,tamara.warren@dci-student.edu,11
Washington,Travis,travis.washington@dci-student.edu,8
Walsh,Jill,jill.walsh@dci-student.edu,4
Perez,Jeffrey,jeffrey.perez@dci-student.edu,9
Ortega,Tiffany,tiffany.ortega@dci-student.edu,12
Adams,Amy,amy.adams@dci-student.edu,10
Harris,John,john.harris@dci-student.edu,12
Guzman,Cynthia,cynthia.guzman@dci-student.edu,7
Foster,Tommy,tommy.foster@dci-student.edu,9
Flores,Russell,russell.flores@dci-student.edu,12
Roberts,Steven,steven.roberts@dci-student.edu,8
White,Amy,amy.white@dci-student.edu,4
Flores,Brandon,brandon.flores@dci-student.edu,7
Patterson,Nicole,nicole.patterson@dci-student.edu,10
Daniels,Amber,amber.daniels@dci-student.edu,6
Elliott,Richard,richard.elliott@dci-student.edu,12
Sampson,Stephanie,stephanie.sampson@dci-student.edu,4
Reyes,Bailey,bailey.reyes@dci-student.edu,7
Leon,Tammy,tammy.leon@dci-student.edu,4
Campbell,Charles,charles.campbell@dci-student.edu,8
Jones,Michele,michele.jones@dci-student.edu,6
Warren,Angela,angela.warren@dci-student.edu,10
Rodriguez,John,john.rodriguez@dci-student.edu,7
Friedman,Linda,linda.friedman@dci-student.edu,8
Davidson,Luke,luke.davidson@dci-student.edu,5
Price,Ricardo,ricardo.price@dci-student.edu,12
Woodard,John,john.woodard@dci-student.edu,8
Reid,Laura,laura.reid@dci-student.edu,12
Dennis,Cameron,cameron.dennis@dci-student.edu,4
Dunn,Amy,amy.dunn@dci-student.edu,6
Miller,Anthony,anthony.miller@dci-student.edu,12
Mccall,Kimberly,kimberly.mccall@dci-student.edu,4
Allen,Christina,christina.allen@dci-student.edu,8
Sparks,Leslie,leslie.sparks@dci-student.edu,8
Miller,Stephen,stephen.miller@dci-student.edu,4
Williams,Kimberly,kimberly.williams@dci-student.edu,9
Beck,David,david.beck@dci-student.edu,7
Smith,Kerry,kerry.smith@dci-student.edu,5
Sanders,Beth,beth.sanders@dci-student.edu,9
Bryan,Bradley,bradley.bryan@dci-student.edu,8
Reyes,Jason,jason.reyes@dci-student.edu,4
Rogers,Sherry,sherry.rogers@dci-student.edu,11
Lee,Danielle,danielle.lee@dci-student.edu,7
Cooper,Adam,adam.cooper@dci-student.edu,12
Anderson,Daisy,daisy.anderson@dci-student.edu,7
Simpson,Felicia,felicia.simpson@dci-student.edu,12
Brown,Kelsey,kelsey.brown@dci-student.edu,4
Boyd,Victoria,victoria.boyd@dci-student.edu,8
Bailey,Belinda,belinda.bailey@dci-student.edu,4
Miranda,Brett,brett.miranda@dci-student.edu,8
Parker,Timothy,timothy.parker@dci-student.edu,10
Walls,Joyce,joyce.walls@dci-student.edu,12
Marshall,Shawn,shawn.marshall@dci-student.edu,6
Edwards,Nicole,nicole.edwards@dci-student.edu,10
Patrick,Mark,mark.patrick@dci-student.edu,4
Clark,Jill,jill.clark@dci-student.edu,4
Young,Joseph,joseph.young@dci-student.edu,10
Reyes,Carol,carol.reyes@dci-student.edu,6
Ramirez,Timothy,timothy.ramirez@dci-student.edu,4
King,Paige,paige.king@dci-student.edu,9
Johnson,Paul,paul.johnson@dci-student.edu,10
Nguyen,Cindy,cindy.nguyen@dci-student.edu,10
Poole,Melissa,melissa.poole@dci-student.edu,5
Thomas,Sandra,sandra.thomas@dci-student.edu,4
Hunt,Brett,brett.hunt@dci-student.edu,12
Johnson,Jamie,jamie.johnson@dci-student.edu,6
Rush,Oscar,oscar.rush@dci-student.edu,5
Bates,Nathan,nathan.bates@dci-student.edu,10
Gonzalez,Matthew,matthew.gonzalez@dci-student.edu,12
Terry,Amy,amy.terry@dci-student.edu,7
Miller,Jorge,jorge.miller@dci-student.edu,11
Bauer,John,john.bauer@dci-student.edu,8
Houston,Emily,emily.houston@dci-student.edu,11
Delgado,Desiree,desiree.delgado@dci-student.edu,4
Greer,April,april.greer@dci-student.edu,12
Anderson,Lauren,lauren.anderson@dci-student.edu,6
Smith,Crystal,crystal.smith@dci-student.edu,5
Taylor,Michael,michael.taylor@dci-student.edu,5
Holt,Crystal,crystal.holt@dci-student.edu,9
Thomas,Brandon,brandon.thomas@dci-student.edu,4
Baldwin,Lucas,lucas.baldwin@dci-student.edu,11
Carter,Lorraine,lorraine.carter@dci-student.edu,10
Duffy,Erin,erin.duffy@dci-student.edu,10
Raymond,Troy,troy.raymond@dci-student.edu,5
Bennett,Richard,richard.bennett@dci-student.edu,10
Powers,Brooke,brooke.powers@dci-student.edu,8
Hart,Colleen,colleen.hart@dci-student.edu,7
Johnston,Robert,robert.johnston@dci-student.edu,5
Myers,Brian,brian.myers@dci-student.edu,7
Terry,Thomas,thomas.terry@dci-student.edu,9
Daniel,William,william.daniel@dci-student.edu,5
Johnson,Dylan,dylan.johnson@dci-student.edu,10
Vasquez,Sara,sara.vasquez@dci-student.edu,5
Gordon,Lori,lori.gordon@dci-student.edu,7
Flower,John,john.g.2.flower@dci-student.edu,5
Curry,Alec,alec.curry@dci-student.edu,11
Wilkerson,Levi,levi.wilkerson@dci-student.edu,12
Pena,Jonathan,jonathan.pena@dci-student.edu,5
Douglas,Robert,robert.douglas@dci-student.edu,8
James,Margaret,margaret.james@dci-student.edu,11
Dunlap,Angela,angela.dunlap@dci-student.edu,6
Jones,Sarah,sarah.jones@dci-student.edu,12
Scott,Michelle,michelle.scott@dci-student.edu,7
Mann,Nicole,nicole.mann@dci-student.edu,9
Graham,Benjamin,benjamin.graham@dci-student.edu,7
Glover,Heidi,heidi.glover@dci-student.edu,9
Petersen,Kristin,kristin.petersen@dci-student.edu,5
Smith,Matthew,matthew.smith@dci-student.edu,8
Smith,Andrea,andrea.smith@dci-student.edu,12
Weber,Samuel,samuel.weber@dci-student.edu,6
Joyce,Traci,traci.joyce@dci-student.edu,4
Hernandez,Taylor,taylor.hernandez@dci-student.edu,9
Nguyen,Donna,donna.nguyen@dci-student.edu,4
Schwartz,Billy,billy.schwartz@dci-student.edu,9
Moore,Kimberly,kimberly.moore@dci-student.edu,4
Brock,Lauren,lauren.brock@dci-student.edu,7
Dudley,Emily,emily.dudley@dci-student.edu,9
Johnson,Stacy,stacy.johnson@dci-student.edu,7
Stevens,Marcia,marcia.stevens@dci-student.edu,12
Barrera,Woody,woody.barrera_jr@dci-student.edu,10
Webb,Heather,heather.webb@dci-student.edu,4
Saunders,Richard,richard.saunders@dci-student.edu,12
Rhodes,Kimberly,kimberly.rhodes@dci-student.edu,6
Evans,Patricia,patricia.evans@dci-student.edu,4
Garcia,Desiree,desiree.garcia@dci-student.edu,6
Jones,Daniel,daniel.jones@dci-student.edu,10
Odom,John,john.odom@dci-student.edu,6
Underwood,James,james.underwood@dci-student.edu,9
Benton,Michael,michael.benton@dci-student.edu,4
Lopez,Mark,mark.lopez@dci-student.edu,9
Watkins,Carol,carol.watkins@dci-student.edu,5
Faulkner,Katelyn,katelyn.faulkner@dci-student.edu,6
Good,Sherry,sherry.good@dci-student.edu,9
Rice,Rhonda,rhonda.rice@dci-student.edu,9
Smith,Samantha,samantha.smith@dci-student.edu,6
Watson,Holly,holly.watson@dci-student.edu,5
Rodriguez,Alexander,alexander.rodriguez@dci-student.edu,7
Reilly,Brandy,brandy.reilly@dci-student.edu,10
Payne,Douglas,douglas.payne@dci-student.edu,5
Johnson,Tara,tara.johnson@dci-student.edu,12
Lee,Michelle,michelle.lee@dci-student.edu,10
Cervantes,Scott,scott.cervantes@dci-student.edu,9
