,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 Max Points,Homework 2,Homework 2 Max Points,Homework 3,Homework 3 Max Points,Homework 4,Homework 4 Max Points,Homework 5,Homework 5 Max Points,Homework 6,Homework 6 Max Points,Homework 7,Homework 7 Max Points,Homework 8,Homework 8 Max Points,Homework 9,Homework 9 Max Points,Homework 10,Homework 10 Max Points,Exam 1,Exam 1 Max Points,Exam 2,Exam 2 Max Points,Exam 3,Exam 3 Max Points,Quiz 3,Quiz 1,Quiz 4,Quiz 2,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@dci-student.edu,3,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100,9,6,14,10,4,0.83,0.95,0.87,,,,0.6231884057971014,0.6149732620320856,0.6231884057971014,0.4539565217391305,46,F
nsb43944,nathan.bates@dci-student.edu,3,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100,6,6,11,12,10,0.71,0.76,0.82,,,,0.6521739130434783,0.6634886681945507,0.6634886681945507,0.4335466004583652,44,F
mxb67936,michael.benton@dci-student.edu,3,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100,17,7,10,6,4,0.78,0.91,0.91,,,,0.6376811594202898,0.6167965367965368,0.6376811594202898,0.4578043478260869,46,F
bxb28023,bradley.bryan@dci-student.edu,3,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100,8,10,10,12,8,0.96,0.82,0.66,,,,0.6956521739130435,0.7121263050674815,0.7121263050674815,0.44263789152024446,45,F
sxc85021,scott.cervantes@dci-student.edu,3,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100,9,4,12,8,9,0.6,1.0,0.89,,,,0.6086956521739131,0.6067048637636873,0.6086956521739131,0.4461086956521739,45,F
jgc21028,jill.clark@dci-student.edu,3,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100,14,9,11,6,4,0.62,0.94,0.88,,,,0.6376811594202898,0.6321517697988287,0.6376811594202898,0.44830434782608697,45,F
lxd16906,luke.davidson@dci-student.edu,3,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100,14,7,8,14,5,0.92,0.62,0.6,,,,0.6956521739130435,0.6762643239113827,0.6956521739130435,0.406695652173913,41,F
rxd55884,rachel.dennis@dci-student.edu,3,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100,7,7,6,6,11,0.72,0.98,0.86,,,,0.5362318840579711,0.558673287496817,0.558673287496817,0.4306019862490451,44,F
axd67070,amy.dunn@dci-student.edu,3,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100,6,10,13,12,6,0.93,0.96,0.86,,,,0.6811594202898551,0.6981207028265851,0.6981207028265851,0.48093621084797555,49,F
nxe44872,nicole.edwards@dci-student.edu,3,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100,9,10,12,12,10,0.89,0.63,0.65,,,,0.7681159420289855,0.7857957728545963,0.7857957728545963,0.4407387318563789,45,F
pxe53402,patricia.evans@dci-student.edu,3,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100,8,9,12,9,4,0.72,0.91,0.68,,,,0.6086956521739131,0.6158492487904252,0.6158492487904252,0.41375477463712756,42,F
jgf12345,john.g.2.flower@dci-student.edu,3,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100,8,8,13,8,5,0.72,0.83,0.77,,,,0.6086956521739131,0.6152864782276548,0.6152864782276548,0.4190859434682964,42,F
axf16145,ashlee.foster@dci-student.edu,3,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100,17,5,14,12,12,0.73,0.61,0.74,,,,0.8695652173913043,0.850909090909091,0.8695652173913043,0.4693695652173913,47,F
llf55044,linda.friedman@dci-student.edu,3,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100,8,10,5,9,8,0.64,0.86,0.7,,,,0.5797101449275363,0.6006977336389101,0.6006977336389101,0.40320932009167304,41,F
abg77872,april.greer@dci-student.edu,3,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100,13,8,13,11,12,0.74,0.71,0.94,,,,0.8260869565217391,0.830776674306086,0.830776674306086,0.49823300229182577,50,F
dxj78877,dylan.johnson@dci-student.edu,3,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100,15,6,5,9,10,0.72,0.64,0.99,,,,0.6521739130434783,0.6436567354214413,0.6521739130434783,0.4441521739130435,45,F
pmj37756,paul.johnson@dci-student.edu,3,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100,9,10,11,14,10,0.84,0.8,0.94,,,,0.782608695652174,0.7981767252355487,0.7981767252355487,0.5024530175706646,51,F
rsj94156,robert.johnston@dci-student.edu,3,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100,13,9,10,12,5,0.98,0.61,0.74,,,,0.7101449275362319,0.702768016297428,0.7101449275362319,0.4340434782608696,44,F
sxj49423,sarah.jones@dci-student.edu,3,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100,15,9,14,15,12,0.89,0.68,0.94,,,,0.9420289855072463,0.9401069518716578,0.9420289855072463,0.5361086956521739,54,F
dsl24347,danielle.lee@dci-student.edu,3,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100,10,7,5,14,7,0.62,0.7,0.9,,,,0.6231884057971014,0.6196816908581615,0.6231884057971014,0.42295652173913045,43,F
tgl37922,tammy.leon@dci-student.edu,3,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100,17,4,6,14,4,0.88,0.9,0.87,,,,0.6521739130434783,0.6117748917748917,0.6521739130434783,0.4601521739130435,47,F
kxm62826,kimberly.mccall@dci-student.edu,3,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100,10,11,12,15,4,0.79,0.98,0.6,,,,0.7536231884057971,0.7557422969187676,0.7557422969187676,0.45422268907563024,46,F
axm26865,anthony.miller@dci-student.edu,3,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100,13,9,7,8,12,0.73,0.68,0.93,,,,0.7101449275362319,0.7232442067736186,0.7232442067736186,0.46097326203208555,47,F
bxm17365,brett.miranda@dci-student.edu,3,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100,15,11,11,9,8,0.82,0.94,0.95,,,,0.782608695652174,0.7869467787114846,0.7869467787114846,0.5135840336134453,52,F
njp08545,nicole.patterson@dci-student.edu,3,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100,10,6,13,14,10,0.96,0.91,0.95,,,,0.7681159420289855,0.7657855869620576,0.7681159420289855,0.5119347826086956,52,F
jxp06435,jeffrey.perez@dci-student.edu,3,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100,12,4,12,7,9,0.67,0.81,0.95,,,,0.6376811594202898,0.6286656480774128,0.6376811594202898,0.44830434782608697,45,F
mxp86000,melissa.poole@dci-student.edu,3,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100,17,9,12,7,5,0.88,0.97,0.83,,,,0.7246376811594203,0.7117316017316018,0.7246376811594203,0.4828913043478261,49,F
rxp56459,ricardo.price@dci-student.edu,3,Ricardo,Price,77.0,80,74,80,67,80,67,100,67,70,58,90,41,50,60,70,38,60,55,60,68,100,92,100,75,100,8,10,14,12,12,0.68,0.92,0.75,,,,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.48928074866310156,49,F
txr84689,timothy.ramirez@dci-student.edu,3,Timothy,Ramirez,72.0,80,73,80,65,80,73,100,49,70,79,90,49,50,57,70,54,60,51,60,84,100,69,100,87,100,13,4,6,8,4,0.84,0.69,0.87,,,,0.5072463768115942,0.48471606824547997,0.5072463768115942,0.39367391304347826,40,F
tbr17292,troy.raymond@dci-student.edu,3,Troy,Raymond,50.0,80,59,80,79,80,98,100,65,70,68,90,44,50,66,70,45,60,49,60,91,100,67,100,100,100,14,7,7,7,5,0.91,0.67,1.0,,,,0.5797101449275363,0.5686452762923351,0.5797101449275363,0.4364130434782609,44,F
lcr30757,laura.reid@dci-student.edu,3,Laura,Reid,51.0,80,75,80,48,80,62,100,42,70,54,90,32,50,61,70,49,60,46,60,64,100,86,100,86,100,10,4,8,13,12,0.64,0.86,0.86,,,,0.6811594202898551,0.6779933791698498,0.6811594202898551,0.45134782608695656,46,F
