,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 Max Points,Homework 2,Homework 2 Max Points,Homework 3,Homework 3 Max Points,Homework 4,Homework 4 Max Points,Homework 5,Homework 5 Max Points,Homework 6,Homework 6 Max Points,Homework 7,Homework 7 Max Points,Homework 8,Homework 8 Max Points,Homework 9,Homework 9 Max Points,Homework 10,Homework 10 Max Points,Exam 1,Exam 1 Max Points,Exam 2,Exam 2 Max Points,Exam 3,Exam 3 Max Points,Quiz 3,Quiz 1,Quiz 4,Quiz 2,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
dma58910,daisy.anderson@dci-student.edu,2,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100,10,9,6,6,7,0.92,0.66,0.94,,,,0.5507246376811594,0.5636643748408454,0.5636643748408454,0.4220993124522536,43,F
lba53221,lauren.anderson@dci-student.edu,2,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100,11,8,11,6,6,0.94,0.67,0.86,,,,0.6086956521739131,0.6120091673032849,0.6120091673032849,0.4266027501909855,43,F
vkb66346,victoria.boyd@dci-student.edu,2,Victoria,Boyd,58.0,80,61,80,75,80,99,100,52,70,86,90,34,50,51,70,40,60,50,60,68,100,93,100,69,100,6,9,6,8,8,0.68,0.93,0.69,,,,0.5362318840579711,0.5599388846447669,0.5599388846447669,0.39848166539343005,40,F
lmb95641,lauren.brock@dci-student.edu,2,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100,11,7,12,14,7,0.75,0.72,0.96,,,,0.7391304347826086,0.7314463967405145,0.7391304347826086,0.4752391304347826,48,F
ksb85997,kelsey.brown@dci-student.edu,2,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100,9,10,14,15,4,0.8,0.69,0.83,,,,0.7536231884057971,0.754367201426025,0.754367201426025,0.4598101604278075,46,F
cxc08121,charles.campbell@dci-student.edu,2,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100,14,5,14,15,8,0.66,0.96,1.0,,,,0.8115942028985508,0.7889483065953654,0.8115942028985508,0.5224782608695653,53,F
lxc64780,lorraine.carter@dci-student.edu,2,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100,14,5,12,13,10,0.68,0.69,0.99,,,,0.782608695652174,0.7670435446906035,0.782608695652174,0.4862826086956522,49,F
amc28428,adam.cooper@dci-student.edu,2,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100,16,4,7,10,12,0.65,0.63,0.9,,,,0.7101449275362319,0.6942959001782532,0.7101449275362319,0.4435434782608696,45,F
axc64717,alec.curry@dci-student.edu,2,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100,9,9,12,9,11,0.65,0.78,0.83,,,,0.7246376811594203,0.7442806213394448,0.7442806213394448,0.45828418640183344,46,F
wad63934,william.daniel@dci-student.edu,2,William,Daniel,48.0,80,60,80,72,80,76,100,65,70,60,90,38,50,62,70,51,60,36,60,84,100,91,100,95,100,10,9,9,10,5,0.84,0.91,0.95,,,,0.6231884057971014,0.6265215176979883,0.6265215176979883,0.46345645530939644,47,F
