Last Name,First Name,Email Address,Grade
Thomas,Brandon,brandon.thomas@dci-student.edu,13
Flower,John,john.g.2.flower@dci-student.edu,8
Hernandez,Taylor,taylor.hernandez@dci-student.edu,14
Warren,Tamara,tamara.warren@dci-student.edu,16
Simpson,Felicia,felicia.simpson@dci-student.edu,13
Lee,Michelle,michelle.lee@dci-student.edu,16
Myers,Brian,brian.myers@dci-student.edu,15
Anderson,Daisy,daisy.anderson@dci-student.edu,10
Rhodes,Kimberly,kimberly.rhodes@dci-student.edu,16
Watkins,Carol,carol.watkins@dci-student.edu,11
Sampson,Stephanie,stephanie.sampson@dci-student.edu,6
Smith,Andrea,andrea.smith@dci-student.edu,7
Rush,Oscar,oscar.rush@dci-student.edu,7
Friedman,Linda,linda.friedman@dci-student.edu,8
Nguyen,Donna,donna.nguyen@dci-student.edu,14
Miller,Anthony,anthony.miller@dci-student.edu,13
Elliott,Richard,richard.elliott@dci-student.edu,17
Dunn,Amy,amy.dunn@dci-student.edu,6
Smith,Samantha,samantha.smith@dci-student.edu,17
Martin,Ashley,ashley.martin@dci-student.edu,8
Smith,Kerry,kerry.smith@dci-student.edu,16
Rodriguez,Alexander,alexander.rodriguez@dci-student.edu,16
Stevens,Marcia,marcia.stevens@dci-student.edu,17
Terry,Amy,amy.terry@dci-student.edu,9
Saunders,Richard,richard.saunders@dci-student.edu,15
Garza,Jessica,jessica.garza@dci-student.edu,16
Wolf,Courtney,courtney.wolf@dci-student.edu,9
Pena,Jonathan,jonathan.pena@dci-student.edu,13
Edwards,Timothy,timothy.edwards@dci-student.edu,6
Benton,Michael,michael.benton@dci-student.edu,17
Bennett,Richard,richard.bennett@dci-student.edu,9
Delgado,Desiree,desiree.delgado@dci-student.edu,9
Gonzalez,Matthew,matthew.gonzalez@dci-student.edu,16
Webb,Heather,heather.webb@dci-student.edu,16
Reilly,Brandy,brandy.reilly@dci-student.edu,6
Good,Sherry,sherry.good@dci-student.edu,7
King,Paige,paige.king@dci-student.edu,17
Garcia,Desiree,desiree.garcia@dci-student.edu,6
Hart,Colleen,colleen.hart@dci-student.edu,17
Weber,Samuel,samuel.weber@dci-student.edu,14
Patterson,Nicole,nicole.patterson@dci-student.edu,10
Dennis,Rachel,rachel.dennis@dci-student.edu,7
Young,Joseph,joseph.young@dci-student.edu,12
Miller,Stephen,stephen.miller@dci-student.edu,7
Hunt,Brett,brett.hunt@dci-student.edu,16
Schwartz,Billy,billy.schwartz@dci-student.edu,11
Guzman,Cynthia,cynthia.guzman@dci-student.edu,14
Petersen,Kristin,kristin.petersen@dci-student.edu,7
Allen,Christina,christina.allen@dci-student.edu,14
Washington,Travis,travis.washington@dci-student.edu,10
Anderson,Lauren,lauren.anderson@dci-student.edu,11
Cooper,Adam,adam.cooper@dci-student.edu,16
Bauer,John,john.bauer@dci-student.edu,13
Woodard,John,john.woodard@dci-student.edu,11
Payne,Douglas,douglas.payne@dci-student.edu,7
Smith,Crystal,crystal.smith@dci-student.edu,8
Poole,Melissa,melissa.poole@dci-student.edu,17
Glover,Heidi,heidi.glover@dci-student.edu,10
Baldwin,Lucas,lucas.baldwin@dci-student.edu,9
Campbell,Charles,charles.campbell@dci-student.edu,14
Johnson,Stacy,stacy.johnson@dci-student.edu,11
White,Amy,amy.white@dci-student.edu,15
Mann,Nicole,nicole.mann@dci-student.edu,12
Foster,Ashlee,ashlee.foster@dci-student.edu,17
Price,Ricardo,ricardo.price@dci-student.edu,8
Douglas,Robert,robert.douglas@dci-student.edu,13
Parker,Timothy,timothy.parker@dci-student.edu,13
Dunlap,Angela,angela.dunlap@dci-student.edu,11
Scott,Michelle,michelle.scott@dci-student.edu,12
Carter,Lorraine,lorraine.carter@dci-student.edu,14
Bryan,Bradley,bradley.bryan@dci-student.edu,8
Bates,Nathan,nathan.bates@dci-student.edu,6
Daniel,William,william.daniel@dci-student.edu,10
Rodriguez,John,john.rodriguez@dci-student.edu,12
Flores,Russell,russell.flores@dci-student.edu,13
Reyes,Jason,jason.reyes@dci-student.edu,13
Lester,Aaron,aaron.lester@dci-student.edu,10
Cervantes,Scott,scott.cervantes@dci-student.edu,9
Greer,April,april.greer@dci-student.edu,13
Johnson,Jamie,jamie.johnson@dci-student.edu,16
Faulkner,Katelyn,katelyn.faulkner@dci-student.edu,17
Brock,Lauren,lauren.brock@dci-student.edu,11
Mccall,Kimberly,kimberly.mccall@dci-student.edu,10
Johnson,Tara,tara.johnson@dci-student.edu,10
Clark,Jill,jill.clark@dci-student.edu,14
Ortega,Tiffany,tiffany.ortega@dci-student.edu,15
Sanders,Beth,beth.sanders@dci-student.edu,9
Smith,Matthew,matthew.smith@dci-student.edu,7
Lopez,Mark,mark.lopez@dci-student.edu,15
Perez,Jeffrey,jeffrey.perez@dci-student.edu,12
Houston,Emily,emily.houston@dci-student.edu,17
Curry,Alec,alec.curry@dci-student.edu,9
Reyes,Carol,carol.reyes@dci-student.edu,8
Warren,Angela,angela.warren@dci-student.edu,10
Reyes,Bailey,bailey.reyes@dci-student.edu,17
Miller,Jorge,jorge.miller@dci-student.edu,6
Rice,Rhonda,rhonda.rice@dci-student.edu,14
Powers,Brooke,brooke.powers@dci-student.edu,17
Gordon,Lori,lori.gordon@dci-student.edu,12
Leon,Tammy,tammy.leon@dci-student.edu,17
Johnston,Robert,robert.johnston@dci-student.edu,13
Lambert,Malaika,malaika.lambert@dci-student.edu,10
Underwood,James,james.underwood@dci-student.edu,8
Williams,Kimberly,kimberly.williams@dci-student.edu,11
Jones,Sarah,sarah.jones@dci-student.edu,15
Flores,Brandon,brandon.flores@dci-student.edu,11
Johnson,Paul,paul.johnson@dci-student.edu,9
Bailey,Belinda,belinda.bailey@dci-student.edu,9
Odom,John,john.odom@dci-student.edu,8
Jones,Michele,michele.jones@dci-student.edu,12
Graham,Benjamin,benjamin.graham@dci-student.edu,6
Moore,Kimberly,kimberly.moore@dci-student.edu,17
Nguyen,Cindy,cindy.nguyen@dci-student.edu,6
Edwards,Nicole,nicole.edwards@dci-student.edu,9
Beck,David,david.beck@dci-student.edu,7
Brown,Kelsey,kelsey.brown@dci-student.edu,9
Vasquez,Sara,sara.vasquez@dci-student.edu,8
Lee,Danielle,danielle.lee@dci-student.edu,10
Reid,Laura,laura.reid@dci-student.edu,10
Thomas,Sandra,sandra.thomas@dci-student.edu,14
Rogers,Sherry,sherry.rogers@dci-student.edu,17
Ramirez,Timothy,timothy.ramirez@dci-student.edu,13
Daniels,Amber,amber.daniels@dci-student.edu,16
Davidson,Luke,luke.davidson@dci-student.edu,14
Foster,Tommy,tommy.foster@dci-student.edu,7
Terry,Thomas,thomas.terry@dci-student.edu,13
Dennis,Cameron,cameron.dennis@dci-student.edu,13
Johnson,Dylan,dylan.johnson@dci-student.edu,15
Watson,Holly,holly.watson@dci-student.edu,10
James,Margaret,margaret.james@dci-student.edu,9
Walls,Joyce,joyce.walls@dci-student.edu,9
Boyd,Victoria,victoria.boyd@dci-student.edu,6
Dudley,Emily,emily.dudley@dci-student.edu,8
Patrick,Mark,mark.patrick@dci-student.edu,10
Sparks,Leslie,leslie.sparks@dci-student.edu,16
Raymond,Troy,troy.raymond@dci-student.edu,14
Evans,Patricia,patricia.evans@dci-student.edu,8
Marshall,Shawn,shawn.marshall@dci-student.edu,15
Joyce,Traci,traci.joyce@dci-student.edu,14
Walsh,Jill,jill.walsh@dci-student.edu,6
Miranda,Brett,brett.miranda@dci-student.edu,15
Harris,John,john.harris@dci-student.edu,12
Holt,Crystal,crystal.holt@dci-student.edu,14
Duffy,Erin,erin.duffy@dci-student.edu,14
Wilkerson,Levi,levi.wilkerson@dci-student.edu,8
Adams,Amy,amy.adams@dci-student.edu,12
Roberts,Steven,steven.roberts@dci-student.edu,8
Barrera,Woody,woody.barrera_jr@dci-student.edu,11
Taylor,Michael,michael.taylor@dci-student.edu,13
Jones,Daniel,daniel.jones@dci-student.edu,11
