Last Name,First Name,Email Address,Grade
Patterson,Nicole,nicole.patterson@dci-student.edu,13
Graham,Benjamin,benjamin.graham@dci-student.edu,6
Flores,Russell,russell.flores@dci-student.edu,9
Moore,Kimberly,kimberly.moore@dci-student.edu,8
Adams,Amy,amy.adams@dci-student.edu,8
Vasquez,Sara,sara.vasquez@dci-student.edu,6
Petersen,Kristin,kristin.petersen@dci-student.edu,5
Bennett,Richard,richard.bennett@dci-student.edu,8
Saunders,Richard,richard.saunders@dci-student.edu,12
Perez,Jeffrey,jeffrey.perez@dci-student.edu,12
Warren,Tamara,tamara.warren@dci-student.edu,7
Douglas,Robert,robert.douglas@dci-student.edu,10
White,Amy,amy.white@dci-student.edu,11
Jones,Michele,michele.jones@dci-student.edu,6
Smith,Samantha,samantha.smith@dci-student.edu,5
Smith,Crystal,crystal.smith@dci-student.edu,14
Marshall,Shawn,shawn.marshall@dci-student.edu,11
Joyce,Traci,traci.joyce@dci-student.edu,9
Delgado,Desiree,desiree.delgado@dci-student.edu,8
Foster,Tommy,tommy.foster@dci-student.edu,10
Cooper,Adam,adam.cooper@dci-student.edu,7
Bryan,Bradley,bradley.bryan@dci-student.edu,10
Weber,Samuel,samuel.weber@dci-student.edu,5
Harris,John,john.harris@dci-student.edu,6
Daniel,William,william.daniel@dci-student.edu,9
Glover,Heidi,heidi.glover@dci-student.edu,7
Garcia,Desiree,desiree.garcia@dci-student.edu,10
Powers,Brooke,brooke.powers@dci-student.edu,10
Rogers,Sherry,sherry.rogers@dci-student.edu,9
Bauer,John,john.bauer@dci-student.edu,9
Washington,Travis,travis.washington@dci-student.edu,9
Thomas,Brandon,brandon.thomas@dci-student.edu,8
Jones,Sarah,sarah.jones@dci-student.edu,14
Lambert,Malaika,malaika.lambert@dci-student.edu,13
Holt,Crystal,crystal.holt@dci-student.edu,14
Johnson,Tara,tara.johnson@dci-student.edu,14
Underwood,James,james.underwood@dci-student.edu,9
Rush,Oscar,oscar.rush@dci-student.edu,5
Benton,Michael,michael.benton@dci-student.edu,10
Williams,Kimberly,kimberly.williams@dci-student.edu,11
Dunn,Amy,amy.dunn@dci-student.edu,13
Watson,Holly,holly.watson@dci-student.edu,6
Watkins,Carol,carol.watkins@dci-student.edu,5
Price,Ricardo,ricardo.price@dci-student.edu,14
Warren,Angela,angela.warren@dci-student.edu,5
Houston,Emily,emily.houston@dci-student.edu,5
Simpson,Felicia,felicia.simpson@dci-student.edu,9
Sanders,Beth,beth.sanders@dci-student.edu,10
Gordon,Lori,lori.gordon@dci-student.edu,7
Baldwin,Lucas,lucas.baldwin@dci-student.edu,12
Good,Sherry,sherry.good@dci-student.edu,7
Sparks,Leslie,leslie.sparks@dci-student.edu,8
Lee,Michelle,michelle.lee@dci-student.edu,10
Poole,Melissa,melissa.poole@dci-student.edu,12
Boyd,Victoria,victoria.boyd@dci-student.edu,6
Campbell,Charles,charles.campbell@dci-student.edu,14
Dennis,Cameron,cameron.dennis@dci-student.edu,5
Nguyen,Cindy,cindy.nguyen@dci-student.edu,10
Duffy,Erin,erin.duffy@dci-student.edu,5
Raymond,Troy,troy.raymond@dci-student.edu,7
Anderson,Daisy,daisy.anderson@dci-student.edu,6
Sampson,Stephanie,stephanie.sampson@dci-student.edu,12
Rodriguez,John,john.rodriguez@dci-student.edu,11
Leon,Tammy,tammy.leon@dci-student.edu,6
Rodriguez,Alexander,alexander.rodriguez@dci-student.edu,11
King,Paige,paige.king@dci-student.edu,14
Dudley,Emily,emily.dudley@dci-student.edu,9
Johnston,Robert,robert.johnston@dci-student.edu,10
Carter,Lorraine,lorraine.carter@dci-student.edu,12
Jones,Daniel,daniel.jones@dci-student.edu,7
Johnson,Dylan,dylan.johnson@dci-student.edu,5
Hernandez,Taylor,taylor.hernandez@dci-student.edu,5
Rice,Rhonda,rhonda.rice@dci-student.edu,6
Scott,Michelle,michelle.scott@dci-student.edu,14
Johnson,Stacy,stacy.johnson@dci-student.edu,7
Hunt,Brett,brett.hunt@dci-student.edu,7
Beck,David,david.beck@dci-student.edu,12
Walls,Joyce,joyce.walls@dci-student.edu,7
Elliott,Richard,richard.elliott@dci-student.edu,11
Ramirez,Timothy,timothy.ramirez@dci-student.edu,6
Wolf,Courtney,courtney.wolf@dci-student.edu,7
Schwartz,Billy,billy.schwartz@dci-student.edu,10
Ortega,Tiffany,tiffany.ortega@dci-student.edu,14
Brock,Lauren,lauren.brock@dci-student.edu,12
Hart,Colleen,colleen.hart@dci-student.edu,9
Friedman,Linda,linda.friedman@dci-student.edu,5
Gonzalez,Matthew,matthew.gonzalez@dci-student.edu,11
Dennis,Rachel,rachel.dennis@dci-student.edu,6
Allen,Christina,christina.allen@dci-student.edu,14
Flores,Brandon,brandon.flores@dci-student.edu,13
Foster,Ashlee,ashlee.foster@dci-student.edu,14
Reyes,Bailey,bailey.reyes@dci-student.edu,6
Cervantes,Scott,scott.cervantes@dci-student.edu,12
Reyes,Carol,carol.reyes@dci-student.edu,14
Lester,Aaron,aaron.lester@dci-student.edu,8
James,Margaret,margaret.james@dci-student.edu,7
Pena,Jonathan,jonathan.pena@dci-student.edu,10
Young,Joseph,joseph.young@dci-student.edu,11
Nguyen,Donna,donna.nguyen@dci-student.edu,9
Guzman,Cynthia,cynthia.guzman@dci-student.edu,10
Terry,Amy,amy.terry@dci-student.edu,5
